DRC,01-06-2026,INCIDENT : Des membres de l'équipe SDB de la Croix-Rouge ont été agressés et battus au cimetière.
DRC,05-06-2026,"Quinze prestataires de soins de quatre établissements de santé ont été informés des précautions standard, de la gestion des déchets et du lavage des mains. Quatorze autres prestataires de soins de quatre établissements supplémentaires ont été informés du lavage des mains, du bionettoyage et de la gestion des déchets. Une décontamination a été réalisée à l'orphelinat Saint-Nicolas. Une ouverture de cercle a été réalisée autour du même orphelinat, couvrant trois établissements de santé, 13 églises et 433 ménages."
DRC,01-07-2026,"Insuffisance de PPE/chlore et de formation ; risque élevé d'infection nosocomiale (96 cas de personnel de santé, 19 décès)."
DRC,05-07-2026,"Insuffisance de PPE, de fournitures de chlore et formation limitée, risquant une infection nosocomiale élevée (96 cas de personnel de santé, 19 décès, 19,7 % de létalité). PERSPECTIVES : Approvisionnement urgent en fournitures et renforcement de la formation IPC."
DRC,06-07-2026,73 ESS évaluées avec 30 obtention de notes inférieures à 50 % ; 9 ménages décontaminés ; 21 ESS accompagnées.
DRC,08-07-2026,"19 ménages identifiés, 18 décontaminés. 38 EDS (90 %) et 37 prélèvements post-mortem en Ituri. Carte de pointage PCI dans 18 établissements (25,1 % de conformité)."
DRC,13-07-2026,99 % des cas confirmés décontaminés. 924 prestataires formés. Décontamination de la morgue au Nord-Kivu. Formation IPC en cours. Fournitures urgentes de PPE et de chlore nécessaires.
DRC,15-07-2026,Décontamination de 15/98 ménages de cas dans les 48 heures ; formation de 18 prestataires et de 100 guérisseurs traditionnels.
DRC,17-07-2026,23/76 ménages décontaminés en Ituri; 1 ménage et 6 ESS au Nord-Kivu; formation en Tshopo.
DRC,18-07-2026,13 évaluations scorecards en Ituri; formation de 17 prestataires à Mabalako et 35 superviseurs à Katwa/Musienene.
DRC,20-07-2026,34 cercles ouverts en Ituri; 42 ESS suivis; 13 ESS décontaminés au Nord-Kivu; 50 PPL formés au Sud-Kivu.
DRC,22-07-2026,25 rings ouverts en Ituri; formation de 32 superviseurs à Beni et 80 à Katwa/Butembo/Musienene.
DRC,23-07-2026,"18 rings ouverts en Ituri; 4 ESS décontaminés au Nord-Kivu; évaluations scorecard en Tshopo (CS Kwetu 16,1%, CS Jamaa 37,1%)."
DRC,25-07-2026,53 rings ouverts en Ituri; 61 ESS suivis; 8 ESS et 25 moyens de transport décontaminés; 56/58 ménages décontaminés; nouveau cas PPL à Nizi.
DRC,26-07-2026,"459 personnes en VAD, 380 causeries, 311 dialogues, 4 881 sensibilisation de masse en Ituri; 98 alertes communautaires; 132 gilets aux RECO."
DRC,27-07-2026,3/31 ménages décontaminés au Nord-Kivu; 10 ESS décontaminés; 141 ESS suivis; 490 prestataires briefés; 43 EDS et 54 swabs réalisés.
DRC,01-08-2026,27 rings ouverts; 36 sites décontaminés (100 %); 34/98 ménages décontaminés; 4 ESS et 3 véhicules décontaminés; 35 ESS suivis.
DRC,02-08-2026,53 rings ouverts et décontaminés; 27 ESS suivis; 5 ESS décontaminés; 53/136 ménages décontaminés; 26 prestataires formés à Komanda.
DRC,03-08-2026,24 rings ouverts; 27 ESS suivis; 7 ESS et 9 véhicules décontaminés; 49/75 ménages décontaminés; 112 PPL formés.
DRC,04-08-2026,27 rings ouverts; 26 ESS suivis; 4 ESS et 27 véhicules décontaminés; 55/82 ménages décontaminés; 112 PPL formés.
DRC,11-08-2026,"19/73 rings ouverts en Ituri; 80/83 sites décontaminés; 59/64 EDS réalisés (92,1 %); 33 prélèvements en Nord-Kivu; 31 EDS réalisés."
DRC,17-08-2026,"Ituri: 7/152 rings ouverts, 44 ménages décontaminés, 73 EDS réalisés; Nord-Kivu: 34 rings, 47 swabs, 44 EDS; Haut-Uélé: 10 rings, 9 swabs, 5 EDS."
DRC,19-08-2026,"Ituri: 19/70 rings ouverts, 40 sites décontaminés, 77 EDS réalisés; Nord-Kivu: 9 FOSA et 5 ménages décontaminés, 47 EDS; Bas-Uélé: 2 salles décontaminées, 8 ESS suivis."
DRC,20-08-2026,"Ituri: 17/52 rings ouverts, 67 sites décontaminés, 63 EDS réalisés; Nord-Kivu: 6 rings ouverts, 11 FOSA décontaminées, 44 EDS; Bas-Uélé: 10/13 ESS suivis, 2 rings ouverts; Tshopo: HC La Famille décontaminé."
DRC,22-08-2026,"Ituri: 14/57 rings ouverts, 24 ménages décontaminés; Nord-Kivu: 5 rings, 12 ménages et 3 FOSA décontaminés, 375 prestataires briefés; Bas-Uélé: 9/13 ESS suivis; Tshopo: 12 ESS suivis dans 3 ZS."
DRC,24-08-2026,"Ituri: 23/59 rings ouverts, 76 ménages décontaminés; Nord-Kivu: 6 rings ouverts, 17 FOSA décontaminées, 44 EDS; Bas-Uélé: 3 rings ouverts; Tshopo: 16 ESS suivis."
DRC,25-08-2026,"Ituri: 21/101 rings ouverts, 165 ménages décontaminés, 82 EDS réalisés; Nord-Kivu: 36 swabs, 34 EDS; Bas-Uélé: 3 rings ouverts, 2 swabs; Tshopo: 10 ESS suivis, 106 prestataires briefés."
DRC,26-08-2026,"Ituri: 31/50 rings ouverts, 65 ménages décontaminés, 78 EDS; Nord-Kivu: 5/10 FOSA décontaminées, 48 FOSA suivies, 43 EDS; Tshopo: Insuffisance EPI et panne incinérateur."
DRC,28-08-2026,"Ituri: 29/33 rings ouverts, 122 ménages décontaminés; Tshopo: 15 ESS suivis, 149 prestataires briefés, 13 salles décontaminées; Nord-Kivu: construction  CTE Musienene terminée."
DRC,30-08-2026,"Ituri: 18/41 rings ouverts, 94 ménages décontaminés, 62 EDS réalisés; Nord-Kivu: 11 rings, 4 ménages décontaminés, 53 EDS; Tshopo: 9 EDS; Haut-Uélé: 4 EDS; Bas-Uélé: 3 swabs."
DRC,31-08-2026,"Ituri: 16/30 rings ouverts, 132 ménages décontaminés, 71 EDS; Nord-Kivu: 20 rings, 18 ménages décontaminés, 48 EDS; Tshopo: 13 ESS suivis, 128 prestataires briefés; Bas-Uélé: 1 ring ouvert, 1 swab."
DRC,01-09-2026,"Ituri: 19/45 rings ouverts, 113 ménages décontaminés, 77 EDS; Nord-Kivu: 10 rings, 6 ménages décontaminés, 59 EDS; Tshopo: 11 ESS suivis, 116 prestataires briefés; Bas-Uélé: 4 rings ouverts, 2 ménages décontaminés."
